OCC2010,SEX,age_category,median_wage
Accountants and Auditors,Male,Under 35,58218
Accountants and Auditors,Male,35 to 50,84681
Accountants and Auditors,Male,50 plus,84638
Accountants and Auditors,Female,Under 35,51232
Accountants and Auditors,Female,35 to 50,61000
Accountants and Auditors,Female,50 plus,60000
Chefs and Cooks,Male,Under 35,22000
Chefs and Cooks,Male,35 to 50,28000
Chefs and Cooks,Male,50 plus,28690
Chefs and Cooks,Female,Under 35,20000
Chefs and Cooks,Female,35 to 50,21000
Chefs and Cooks,Female,50 plus,21594
Chief executives and legislators/public administration,Male,Under 35,79388
Chief executives and legislators/public administration,Male,35 to 50,136158
Chief executives and legislators/public administration,Male,50 plus,147059
Chief executives and legislators/public administration,Female,Under 35,71725
Chief executives and legislators/public administration,Female,35 to 50,105798
Chief executives and legislators/public administration,Female,50 plus,107587
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Male,Under 35,57605
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Male,35 to 50,84681
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Male,50 plus,92217
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Female,Under 35,52926
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Female,35 to 50,72269
Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Female,50 plus,75000
Construction Laborers,Male,Under 35,26449
Construction Laborers,Male,35 to 50,31421
Construction Laborers,Male,50 plus,31739
Construction Laborers,Female,Under 35,25616
Construction Laborers,Female,35 to 50,28580
Construction Laborers,Female,50 plus,31739
Customer Service Representatives,Male,Under 35,30000
Customer Service Representatives,Male,35 to 50,43035
Customer Service Representatives,Male,50 plus,46109
Customer Service Representatives,Female,Under 35,27825
Customer Service Representatives,Female,35 to 50,35500
Customer Service Representatives,Female,50 plus,37297
Driver/Sales Workers and Truck Drivers,Male,Under 35,31739
Driver/Sales Workers and Truck Drivers,Male,35 to 50,42340
Driver/Sales Workers and Truck Drivers,Male,50 plus,43377
Driver/Sales Workers and Truck Drivers,Female,Under 35,25000
Driver/Sales Workers and Truck Drivers,Female,35 to 50,31421
Driver/Sales Workers and Truck Drivers,Female,50 plus,31739
Elementary and Middle School Teachers,Male,Under 35,44674
Elementary and Middle School Teachers,Male,35 to 50,58218
Elementary and Middle School Teachers,Male,50 plus,63511
Elementary and Middle School Teachers,Female,Under 35,42319
Elementary and Middle School Teachers,Female,35 to 50,52899
Elementary and Middle School Teachers,Female,50 plus,57605
Financial Managers,Male,Under 35,60747
Financial Managers,Male,35 to 50,109974
Financial Managers,Male,50 plus,117833
Financial Managers,Female,Under 35,44457
Financial Managers,Female,35 to 50,69126
Financial Managers,Female,50 plus,70920
First-Line Supervisors of Office and Administrative Support Workers,Male,Under 35,40985
First-Line Supervisors of Office and Administrative Support Workers,Male,35 to 50,60000
First-Line Supervisors of Office and Administrative Support Workers,Male,50 plus,67626
First-Line Supervisors of Office and Administrative Support Workers,Female,Under 35,36887
First-Line Supervisors of Office and Administrative Support Workers,Female,35 to 50,47633
